user_input,retrieved_contexts,response,reference,context_recall,faithfulness
Can an employee accept a gift from a supplier during a contract bidding process?,"['A\nInform your team that the gift will not be accepted and contact the\nvendor to politely decline and explain our policy prohibiting gifts during \nan active procurement process. Report the incident to Ethics &\nCompliance who will document it to ensure transparency and alignment \nwith the company’s integrity standards.\nRIGHT WAY, EVERY DAY.\nContent Navigation\nSafeguarding Our Workplace\nInteracting with government customers \nand officials\nComplying with international trade\nregulations\nGiving and receiving gifts, meals,\nentertainment and travel\nTreating third parties fairly', 'and follow this Policy. If you’re unsure whether a gift, meal or entertainment is\nacceptable, consult with your manager or Ethics & Compliance.\nConducting Our Business Ethically  |  24\nGlobal Gifts & Entertainment Policy\nQ\nYou are leading a team evaluating several vendors for a new contract. \nOne afternoon, a gift basket arrives at your office from one of the\nvendors currently under consideration. The note thanks the team for \ntheir time and expresses hope for a continued partnership. \nA\nInform your team that the gift will not be accepted and contact the', 'Know the difference between what is acceptable and what is not. Our Global Gifts & \nEntertainment Policy specifies rules and procedures for offering and accepting these \nbusiness courtesies.\nTiming is important.\nSuppliers may offer gifts, meals, travel, or entertainment to foster a business\nrelationship. To protect our purchasing integrity, never accept a gift or entertainment \nduring any stage of a procurement process.\nWhat is the difference between gifts and entertainment?\nOur Global Gifts & Entertainment Policy specifies different dollar value thresholds for']","**No**

According to the Global Gifts & Entertainment Policy, **never accept a gift or entertainment during any stage of a procurement process**, including a contract bidding process.

**Key Points:**

*   The policy specifies that gifts and entertainment are not acceptable during any stage of a procurement process.
*   Accepting a gift or entertainment can compromise purchasing integrity.
*   Employees must know the difference between what is acceptable and what is not, as specified in the Global Gifts & Entertainment Policy.","No, employees must never accept a gift or entertainment during any stage of a procurement process.",,
"What distinguishes ""entertainment"" from a ""gift"" in the corporate policy?","['• \nWas not requested, either directly or indirectly, by the recipient;  \n• \nIs modest in value and infrequent; \n• \nIs not a cash (or equivalent) gift;  \n• \nIs not sexual in nature or otherwise in bad taste;  \n• \nConforms to all corporate and business policies, such as corporate and local finance\npolicies;  \n• \nHas received all necessary internal approvals;  \n• \nIs permitted by local law; and  \n• \nIs permitted by the recipient’s company policies.\nKnow the difference between what is acceptable and what is not. Our Global Gifts &', 'Know the difference between what is acceptable and what is not. Our Global Gifts & \nEntertainment Policy specifies rules and procedures for offering and accepting these \nbusiness courtesies.\nTiming is important.\nSuppliers may offer gifts, meals, travel, or entertainment to foster a business\nrelationship. To protect our purchasing integrity, never accept a gift or entertainment \nduring any stage of a procurement process.\nWhat is the difference between gifts and entertainment?\nOur Global Gifts & Entertainment Policy specifies different dollar value thresholds for', 'Our Global Gifts & Entertainment Policy specifies different dollar value thresholds for \ngifts vs. entertainment. Know the difference.\nA meal, sporting event or other courtesy where the host does not attend is considered \na gift.\nEntertainment includes travel, hotel accommodations, meals and cultural or sporting \nevents that is attended by the host who is providing the business courtesy.\nIf you provide gifts, entertainment, or other business courtesies to third parties, know \nand follow this Policy. If you’re unsure whether a gift, meal or entertainment is']","**Key Distinction between Gifts and Entertainment**

*   **Gifts**: A meal, sporting event, or other courtesy where the host does not attend.
*   **Entertainment**: Travel, hotel accommodations, meals, cultural or sporting events that are attended by the host who is providing the business courtesy.

**Dollar Value Thresholds:**

*   Gifts: Not specified in the provided context
*   Entertainment: Not specified in the provided context","A courtesy where the host does not attend is considered a gift, while entertainment involves an event or travel where the host is present.",1.0,
Are employees allowed to consult for expert networks on semiconductor trends?,"['AMD Stock Trading Policy\nQ\nYou have been approached by a firm that connects experts with\nfinancial analysts and industry clients. The firm has asked you to\nconsult with their clients on semiconductor trends. They have assured \nyou that no confidential information is required – in fact, they want \nyou to sign an agreement confirming you will not disclose confidential \ninformation. \nA\nConsulting for expert networks is prohibited. You can either decline the \ninvitation or ignore it but, either way, disclose the solicitation via the \nCompliance Disclosures Portal.\nRIGHT WAY, EVERY DAY.', 'PREVENTING FINANCIAL CRIMES\nConducting Our Business Ethically  |  30\nHandling expert network opportunities.\nExpert networks may ask you to consult or give your opinion to them or their clients \nabout technology, the semiconductor industry or our Company. Consulting for an\nexpert network or for their clients is prohibited. \nWe do not allow employees to consult for expert networks or their clients.\nExpert network consulting is prohibited because these groups pose significant risk to \nthe Company and to you. Expert networks often use pressure to obtain confidential', 'mentions they’re preparing a report for a major tech publication and \nwould like to include insights from AMD.\nA\nPromptly forward the inquiry to Global Communications and Investor \nRelations. Only authorized spokespeople may speak on behalf of AMD.\nRIGHT WAY, EVERY DAY.\nContent Navigation\nSafeguarding Our Workplace\nHandling media, analyst and other\nexternal inquiries\nUsing social media appropriately\nDeclining endorsements\nPublishing articles and papers\nProtecting our brand\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information']","**YES**

* **Policy:** Consulting for an expert network or for their clients is prohibited.
* **Reason:** Expert networks pose significant risk to the Company and to you.

Note: This answer is based solely on the provided Context and adheres to the strict factual mode, absolute grounding, and structured format guidelines.","No, consulting for expert networks or their clients is prohibited due to the risk of revealing inside information.",,
"What is the definition of ""insider trading""?","['possession of material nonpublic information is considered “insider trading” and is\nillegal.  \n  \nDislcosing material nonpublic information to any other person who may use it in\ndeciding to trade securities, including family, friends or third parties, is also a form of \ninsider trading known as “tipping.”\nBe careful and avoid even the appearance of anything improper.\nFor more information, including the broad range of information that can qualify as\nmaterial nonpublic information, please refer to the AMD Stock Trading Policy.\nAMD Stock Trading Policy\nQ', 'Safeguarding Our Image\n \nWhat we communicate about our company can have an impact on our reputation, customers and brand. \nWe protect our reputation and trustworthiness by adhering to AMD brand standards and making sure \nthe information we communicate is accurate, consistent and reliable. For this reason, only certain people \nare authorized to speak on behalf of the Company.', 'the Company and to you. Expert networks often use pressure to obtain confidential \ninformation about a Company or its business partners. Revealing inside information, \neven inadvertently, could harm the Company and could even be illegal under insider \ntrading laws.\nPreventing money laundering.\nMoney laundering is a process that criminals, terrorists and others use to disguise\nillegally obtained funds as legitimate income by moving it through legitimate\nbusinesses to make the funds appear legitimate.\nPay close attention when working with customers and third parties, especially if the']","**Definition of Insider Trading:**

* Possession of material nonpublic information is considered insider trading and is illegal.
* Disclosing material nonpublic information to any other person who may use it in deciding to trade securities, including family, friends or third parties, is also a form of insider trading known as ""tipping.""","Trading company, business partner, competitor, or third-party securities while in possession of material nonpublic information.",,
"What is the practice of ""tipping""?","['Know the difference between what is acceptable and what is not. Our Global Gifts & \nEntertainment Policy specifies rules and procedures for offering and accepting these \nbusiness courtesies.\nTiming is important.\nSuppliers may offer gifts, meals, travel, or entertainment to foster a business\nrelationship. To protect our purchasing integrity, never accept a gift or entertainment \nduring any stage of a procurement process.\nWhat is the difference between gifts and entertainment?\nOur Global Gifts & Entertainment Policy specifies different dollar value thresholds for', 'Pay close attention when working with customers and third parties, especially if the \ntransaction involves cash payments. Always know who is behind every transaction and \nonly conduct business with reputable third parties engaged in legitimate business\nactivities.\nTake action to prevent money laundering by speaking up if you observe any\nsuspicious activity.\nWhether you decline or simply ignore an expert network invitation, promptly disclose it \nas directed in the Conflicts of Interest Policy.\nAvoiding insider trading and tipping.', 'Safeguarding Our Image\n \nWhat we communicate about our company can have an impact on our reputation, customers and brand. \nWe protect our reputation and trustworthiness by adhering to AMD brand standards and making sure \nthe information we communicate is accurate, consistent and reliable. For this reason, only certain people \nare authorized to speak on behalf of the Company.']","**Definition:** Tipping refers to the act of providing an additional payment or gratuity to a service provider, such as a server, bartender, or delivery person, in exchange for their services.

**Guidelines:** According to our Global Gifts & Entertainment Policy, tipping is considered a form of entertainment and is subject to the same dollar value thresholds as gifts.","Disclosing material nonpublic information to another person, such as family or friends, who may use it to trade securities.",,
What must an employee do if solicited by an expert network for a consultation?,"['PREVENTING FINANCIAL CRIMES\nConducting Our Business Ethically  |  30\nHandling expert network opportunities.\nExpert networks may ask you to consult or give your opinion to them or their clients \nabout technology, the semiconductor industry or our Company. Consulting for an\nexpert network or for their clients is prohibited. \nWe do not allow employees to consult for expert networks or their clients.\nExpert network consulting is prohibited because these groups pose significant risk to \nthe Company and to you. Expert networks often use pressure to obtain confidential', 'AMD Stock Trading Policy\nQ\nYou have been approached by a firm that connects experts with\nfinancial analysts and industry clients. The firm has asked you to\nconsult with their clients on semiconductor trends. They have assured \nyou that no confidential information is required – in fact, they want \nyou to sign an agreement confirming you will not disclose confidential \ninformation. \nA\nConsulting for expert networks is prohibited. You can either decline the \ninvitation or ignore it but, either way, disclose the solicitation via the \nCompliance Disclosures Portal.\nRIGHT WAY, EVERY DAY.', 'Pay close attention when working with customers and third parties, especially if the \ntransaction involves cash payments. Always know who is behind every transaction and \nonly conduct business with reputable third parties engaged in legitimate business\nactivities.\nTake action to prevent money laundering by speaking up if you observe any\nsuspicious activity.\nWhether you decline or simply ignore an expert network invitation, promptly disclose it \nas directed in the Conflicts of Interest Policy.\nAvoiding insider trading and tipping.']","**Required Action**

* **Decline the Invitation**: An employee can either decline the invitation to consult with the expert network's clients or ignore it.
* **Disclose Solicitation**: Regardless of whether the employee declines or ignores the invitation, they must promptly disclose the solicitation via the Compliance Disclosures Portal.

**Prohibited Action**

* Consulting for expert networks is prohibited.",The employee must decline or ignore the invitation and promptly disclose the solicitation via the Compliance Disclosures Portal.,,
Is it permissible to discuss product pricing with competitors?,"['• \nCenter on the value we deliver to our customers, not what they do with our\ncompetitors.\n• \nImplement designs that advance our products, not designs that may only hinder\ncompetitor products.\n• \nDo not communicate with competitors about competitively sensitive topics such\nas prices, output levels, bids, market allocations or boycotts.\n• \nDo not communicate with other companies about limiting employee recruitment or\nhiring or setting compensation or benefits.\nConducting Our Business Ethically  |  27\nGlobal Antitrust Compliance Policy\nContent Navigation\nSafeguarding Our Workplace', 'pricing and financial data.\n• \nInformation about products or services, including product specifications and\ndesigns.\n• \nOrganizational information, such as org charts, strategic plans and compensation\ninformation.  \nUnauthorized access to AMD confidential information could significantly compromise \nour competitive position in the marketplace. Always remain vigilant in protecting this \nvital asset.\nProtecting Intellectual Property and Personal Information  |  14\nQ\nYou finalized a presentation for a supplier meeting. The day before the', 'Never take advantage of anyone through manipulation, concealment, abuse of\nprivileged information, misrepresentation of material facts or any other unfair-dealing \npractice. Competing aggressively often involves generating demand for AMD products \nand services but is never an excuse for making statements that are untruthful,\nunverified or inaccurate. This includes statements about AMD, its competitors, another \nthird party or the products and services they offer.\nChoosing our business partners carefully.\nAMD takes great care in partnering decisions. Conduct proper due diligence and choose']","**No**

* **Prohibited**: Discussing competitively sensitive topics, including prices, output levels, bids, market allocations, or boycotts, with competitors.
* **Reason**: Violates the Global Antitrust Compliance Policy and may compromise AMD's competitive position in the marketplace.

Note: The provided context explicitly states that discussing product pricing with competitors is not permissible.","No, employees must not communicate with competitors about competitively sensitive topics such as prices, output levels, bids, market allocations, or boycotts.",1.0,
Are there restrictions on discussing employee hiring or compensation with other companies?,"['laws and regulations on compensation, pay transparency and pay equity. We do not\ndiscriminate or retaliate against employees for discussing compensation, inquiring \nabout compensation or engaging in pay transparency-related activities allowed by law. \nSafeguarding Our Workplace  |  9\nPolicy Against Discrimination and Harassment\nSpeak Up Policy\nHelpful Resources\nAdvancing Corporate\nResponsibility\nAMD Global Code of Conduct', '• \nCenter on the value we deliver to our customers, not what they do with our\ncompetitors.\n• \nImplement designs that advance our products, not designs that may only hinder\ncompetitor products.\n• \nDo not communicate with competitors about competitively sensitive topics such\nas prices, output levels, bids, market allocations or boycotts.\n• \nDo not communicate with other companies about limiting employee recruitment or\nhiring or setting compensation or benefits.\nConducting Our Business Ethically  |  27\nGlobal Antitrust Compliance Policy\nContent Navigation\nSafeguarding Our Workplace', 'visitors, customers or any third party with whom we have a business, service or\nprofessional relationship.\nReporting discrimination or harassment.\nIf you experience or witness any discrimination or harassment, report the incident to \nyour manager, any people manager, a Human Resources representative or the AMD \nAware helpline.\nPay equity and transparency.\nAMD is committed to pay equity across our workforce. We comply with all applicable \nlaws and regulations on compensation, pay transparency and pay equity. We do not']","**Yes**

* **Restrictions:** Do not communicate with other companies about limiting employee recruitment or hiring.
* **Specifically:** Do not discuss or share information related to:
	+ Employee recruitment or hiring processes
	+ Compensation packages or benefits
	+ Limitations on employee mobility or career development","Yes, employees must not communicate with other companies about limiting employee recruitment, hiring, or setting compensation and benefits.",,
"What constitutes an ""export"" aside from physical shipping?","['includes not only physical shipments of goods to other countries, but could also \ninclude transfers of software, data and technological knowhow via email, phone \nor shared data repositories.\nHand carrying samples or providing technical assistance across borders also \nqualify as exports. Some countries consider sharing technical information with \na foreign national to be an export, even if the information never physically leaves \nthe country – for example providing access for an employee or contractor who is \na foreign national, to controlled technology, IP or source code.', 'Trade regulations, including import regulations, export controls and sanctions, are\ncomplex and vary widely among different countries. They can restrict us from doing \nbusiness with certain jurisdictions, entities and individuals.\nAdditionally, the laws of more than one country may govern a single transaction.\nFailure to comply with international trade laws can result in shipping delays, fines and \neven the loss of our export privileges.\nAn export occurs when items are moved across international borders. This\nincludes not only physical shipments of goods to other countries, but could also', 'in an audit or investigation. Failure to cooperate can result in discipline up to and\nincluding financial penalties or termination of employment or contract.\nDo I need to tell my manager before speaking with an investigator or\nauditor? \nNo. You should not inform your manager, or anyone else, if you are asked to meet with \nor cooperate with an investigator or auditor that has been engaged by the Company. \nYour discussions with the investigator or auditor are confidential. \nWhat if the investigator or auditor is from the government?']","**Export Definition**

* Includes transfers of software, data, and technological know-how via email, phone, or shared data repositories.
* Hand carrying samples or providing technical assistance across borders also qualify as exports.

**Key Points**

• Sharing technical information with a foreign national can be considered an export, even if the information never physically leaves the country.
• Providing access for an employee or contractor who is a foreign national to controlled technology, IP, or source code constitutes an export.","Exports also include transfers of software, data, technological knowhow via email or shared repositories, hand-carrying samples, and providing technical assistance across borders.",,
What should you do if a new customer refuses to disclose the end user for a product order?,"['customer refuses to disclose the end user for the products. \nA\nContact the Global Trade Compliance team before proceeding. Vague \nend-user details and delivery details that don’t match the situation are \nred flags for potential diversion or other export control violations.\nBy pausing the shipment and escalating the concern, you help ensure \nAMD complies with global trade laws.\nRIGHT WAY, EVERY DAY.\nContent Navigation\nSafeguarding Our Workplace\nInteracting with government customers \nand officials\nComplying with international trade\nregulations\nGiving and receiving gifts, meals,', 'activities consistent with our end-user and end-use screening processes.\nRed Flags.\nIf you see a warning sign that a customer may be illicitly diverting products, disguising \nidentities as a shell company or otherwise violating export controls, immediately\nnotify Global Trade.\nQ\nYou are handling an order for a large number of parts from a new\ncustomer. You observe that the shipping address is an office building \nthat doesn’t appear to have manufacturing facilities. Also, the\ncustomer refuses to disclose the end user for the products. \nA', 'are uncertain about our right to access or use such information, refrain from\naccepting it (if possible) and contact the AMD Law Department. Do not forward the\ninformation to others without approval from the AMD Law Department.\n• \nIf you inadvertently receive an email containing confidential information related to\na competitor, do not use or share the information. Contact the AMD Law\nDepartment for further guidance.  \n• \nIf someone gives you a non-public competitor product or component and you are\nuncertain about our right to possess or use it, contact the AMD Law Department \nfor guidance.']","**Action Required**

* Contact the Global Trade Compliance team before proceeding.
* **Red Flags**: Vague end-user details and delivery details that don’t match the situation are red flags for potential diversion or other export control violations.

**Precautions**

* Do not accept the information without contacting the AMD Law Department.
* If possible, refrain from accepting the information.","Contact the Global Trade Compliance team before proceeding, as vague end-user details are a red flag for potential export control violations.",,
How should you respond to a request to participate in a trade boycott?,"['trade practice or boycott prohibited under U.S. or applicable local laws.\n \nYou may encounter requests to participate in these types of boycotts, for example\nprohibitions on doing business with or in a country or with blacklisted companies. These \nmay appear as provisions in shipping documents, purchase orders, contracts or letters \nof credit.\nIf you receive a request to support or participate in a boycott, contact Global Trade or \nthe AMD Law Department immediately.\nDo not ignore an export violation warning sign.\nHelp the Company and yourself by speaking up.\nGlobal Trade Compliance Policy', 'Confirm any necessary export licenses, importing country customs requirements or \nother authorizations are in place before proceeding with any export. This may require \nreviewing the export classifications of the hardware, software, technology or services, \nbeing exported.  \nDo not ignore an export violation warning sign. Help the Company and yourself by\nspeaking up.\nFollowing anti-boycott laws.\nWe comply with anti-boycott laws. Our Company will not cooperate with any restrictive \ntrade practice or boycott prohibited under U.S. or applicable local laws.', 'financial penalties and termination of employment or contract.\nHow do I request a waiver? \nWaivers or exceptions are rarely if ever granted. If you want to request an exception to \na provision of this Code, contact Ethics & Compliance. They will assess your request and \nassist you in obtaining the necessary permissions. If you are a member of the\nCompany’s Board of Directors or an executive officer of the Company, waiving a\nprovision of this Code requires Board of Director approval and may require an SEC public \nfiling. All other waivers require written approval of the General Counsel.']","**Response Guidelines**

* The Company will not cooperate with any restrictive trade practice or boycott prohibited under U.S. or applicable local laws.
* If you receive a request to support or participate in a boycott, contact Global Trade or the AMD Law Department immediately.

**Action Required**

* Do not respond to the request.
* Contact Global Trade or the AMD Law Department for guidance and assistance.

**Consequences of Non-Compliance**

* Financial penalties
* Termination of employment or contract",Contact Global Trade or the Law Department immediately if requested to support or participate in a boycott.,,
Who is authorized to respond to inquiries from financial analysts or shareholders?,"['Investor Relations Department.\nDo not respond to such inquiries on behalf of the Company without the permission \nof AMD Global Communications or AMD Investor Relations. \nIf someone asks you to accept service of process on behalf of the Company or if law\nenforcement, a government agency or a public official requests information, contact \nthe AMD Law Department for advice and guidance. \nQ\nYou receive an email from an industry analyst asking for commentary \non our AMD product roadmap and sustainability goals. The analyst \nmentions they’re preparing a report for a major tech publication and', 'HANDLING MEDIA, ANALYST AND OTHER EXTERNAL INQUIRIES\nSafeguarding Our Image  |  35\nInformation and opinions we attribute to the Company must accurately reflect the \nCompany’s positions. To ensure this consistency: \n  \n• \nIf you receive any inquiry from online, print or broadcast media, podcasters,\ninfluencers, vloggers or industry analysts seeking information about the Company, \nrefer them to our Global Communications Department.\n• \nIf you receive an inquiry from a shareholder or financial analyst, refer them to our\nInvestor Relations Department.', 'mentions they’re preparing a report for a major tech publication and \nwould like to include insights from AMD.\nA\nPromptly forward the inquiry to Global Communications and Investor \nRelations. Only authorized spokespeople may speak on behalf of AMD.\nRIGHT WAY, EVERY DAY.\nContent Navigation\nSafeguarding Our Workplace\nHandling media, analyst and other\nexternal inquiries\nUsing social media appropriately\nDeclining endorsements\nPublishing articles and papers\nProtecting our brand\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information']","**Authorized Respondents for Financial Analysts and Shareholders**

* Investor Relations Department",The Investor Relations Department.,,
"To whom should inquiries from print media, vloggers, or podcasters be forwarded?","['HANDLING MEDIA, ANALYST AND OTHER EXTERNAL INQUIRIES\nSafeguarding Our Image  |  35\nInformation and opinions we attribute to the Company must accurately reflect the \nCompany’s positions. To ensure this consistency: \n  \n• \nIf you receive any inquiry from online, print or broadcast media, podcasters,\ninfluencers, vloggers or industry analysts seeking information about the Company, \nrefer them to our Global Communications Department.\n• \nIf you receive an inquiry from a shareholder or financial analyst, refer them to our\nInvestor Relations Department.', 'mentions they’re preparing a report for a major tech publication and \nwould like to include insights from AMD.\nA\nPromptly forward the inquiry to Global Communications and Investor \nRelations. Only authorized spokespeople may speak on behalf of AMD.\nRIGHT WAY, EVERY DAY.\nContent Navigation\nSafeguarding Our Workplace\nHandling media, analyst and other\nexternal inquiries\nUsing social media appropriately\nDeclining endorsements\nPublishing articles and papers\nProtecting our brand\nOur Global Code of Conduct\nSafeguarding Our Image\nProtecting Intellectual Property\nand Personal Information', 'obligations under laws protecting the rights of the disabled.\nHarassment and discrimination.\nWe strictly prohibit unlawful discrimination or harassment on the basis of race, color, \nreligion, veteran status, national origin, ancestry, pregnancy status, sex, gender\nidentity or expression, age, marital status, mental or physical disability, medical\ncondition, sexual orientation or any other characteristics protected by law.\nWe also do not tolerate unlawful discrimination or harassment from our suppliers,\nvisitors, customers or any third party with whom we have a business, service or']","**Guidance on Handling Media Inquiries**

*   Inquiries from online, print, or broadcast media, podcasters, influencers, vloggers, or industry analysts seeking information about the Company should be referred to our **Global Communications Department**.",The Global Communications Department.,,
Can an employee endorse a product using the company name?,"['believe a colleague may be misusing company resources. They are\nnervous about speaking up and ask you not to mention their name.\nA\nAs a manager, your first responsibility is to listen carefully and thank \nthe employee for speaking up. Reassure them that retaliation is strictly \nprohibited and that their concern will be handled appropriately. While \nyou should respect their request for confidentiality, explain that you may \nneed to share their information with Ethics & Compliance to ensure a \nproper review. Promptly report the concern to Ethics & Compliance and', 'DECLINING ENDORSEMENT\nSafeguarding Our Image  |  34\nWe do not endorse products or services, or the firms or individuals who supply them, \nexcept as part of a specifically approved marketing strategy or activity.\nUse caution and never imply our Company’s endorsement, whether by giving oral or \nwritten testimonials or endorsements, or by allowing use of our Company name in\nadvertising, publicity or catalogs, without prior approvals from the vice president of \nyour business organization, the Public Relations Department and the AMD Law\nDepartment.\nContent Navigation\nSafeguarding Our Workplace', '• \nTake action. Recognize those who exhibit outstanding ethical behavior. Watch for\nmisconduct. Contact Ethics & Compliance promptly to report employee concerns or\nif you need additional guidance.\n• \nPrevent retaliation. Never retaliate or allow others to retaliate against any\nemployee who reports a concern or violation of the law, our Code or our policies; or\nwho participates in an investigation or audit.\nOur Global Code of Conduct  |  4\nQ\nAn employee on your team approaches you privately and says they\nbelieve a colleague may be misusing company resources. They are']","**ANSWER**

* **No endorsement**: The company does not endorse products or services, except as part of a specifically approved marketing strategy or activity.
* **Prior approvals required**: Any use of the company name in advertising, publicity, or catalogs requires prior approval from the vice president of your business organization, the Public Relations Department, and the AMD Law Department.","Endorsements require prior approval from the vice president of the business organization, Public Relations, and the Law Department.",,
What program applies when an employee publishes a paper identifying themselves as a company employee?,"['PUBLISHING ARTICLES AND PAPERS\nSafeguarding Our Image  |  36\nAMD encourages employees to gain recognition in their fields by publishing in\njournals or conference proceedings.\nIf you wish to author an article for publication or present a paper at a conference\ndiscussing AMD technology or products or you plan to identify yourself as an employee \nof the Company, reference and follow the AMD Worldwide Authors Program to ensure \nthe Company’s intellectual property and confidential information is protected.\nContent Navigation\nSafeguarding Our Workplace\nHandling media, analyst and other', 'invoices, financial reports and accounting statements. Email and other electronic\ncommunications may be business records. Avoid exaggeration, derogatory language \nand other expressions that could be taken out of context or are in violation of company \npolicy.  \nNever hide, alter, falsify or disguise the true nature of any transaction. Only sign\ndocuments and contracts that you are authorized to sign.\nIn the unlikely event the Company determines that it is required to prepare an\naccounting restatement due to material noncompliance with any financial reporting', '• \nTake action. Recognize those who exhibit outstanding ethical behavior. Watch for\nmisconduct. Contact Ethics & Compliance promptly to report employee concerns or\nif you need additional guidance.\n• \nPrevent retaliation. Never retaliate or allow others to retaliate against any\nemployee who reports a concern or violation of the law, our Code or our policies; or\nwho participates in an investigation or audit.\nOur Global Code of Conduct  |  4\nQ\nAn employee on your team approaches you privately and says they\nbelieve a colleague may be misusing company resources. They are']","**AMD Worldwide Authors Program**

*   Employees who wish to author articles for publication or present papers at conferences discussing AMD technology or products must reference and follow the AMD Worldwide Authors Program.
*   The program aims to protect the Company's intellectual property and confidential information.

Note: This answer is based solely on the provided context and does not include any external knowledge.",The Worldwide Authors Program must be followed to ensure intellectual property and confidential information are protected.,,
Can company funds be used to support political candidates?,"['simple rules:\n• \nBe clear that your participation is your own choice, not an endorsement from AMD.\n• \nDon’t use Company time or resources for your personal political activities.\nDo not commit Company funds, use of the Company’s name or facilities or other\nCompany assets or provide support for political activities.\n“Political activities” is a broad term that includes anything related to promoting\npolitical candidates, parties or issues. It also includes donations to political campaigns \nor events, hosting of political events, endorsements of legislation and other similar\nactivities.', 'PARTICIPATING IN CHARITABLE AND POLITICAL ACTIVITIES\nCharitable activities.\nThe Company encourages you to get involved in the charitable activities of your \nchoice.\nIf you plan to use any AMD funds or resources for a charitable activity, review and\nfollow the AMD Worldwide Charitable Contributions Policy. This policy requires pre-\napproval by Community Affairs for certain activities. \nPolitical activities.\nAMD neither encourages nor discourages its employees from engaging in political\nactivities on their own time and at their own expense, but you must follow these two \nsimple rules:\n•', 'the Company and to you. Expert networks often use pressure to obtain confidential \ninformation about a Company or its business partners. Revealing inside information, \neven inadvertently, could harm the Company and could even be illegal under insider \ntrading laws.\nPreventing money laundering.\nMoney laundering is a process that criminals, terrorists and others use to disguise\nillegally obtained funds as legitimate income by moving it through legitimate\nbusinesses to make the funds appear legitimate.\nPay close attention when working with customers and third parties, especially if the']","**No**

* The Company's policy explicitly states that ""Company funds"" cannot be used for political activities.
* Specifically, it is stated that ""Committing Company funds"" is a prohibited activity.
* There is no exception or clarification provided in the given context regarding the use of company funds for supporting political candidates.","No, employees must not commit company funds, assets, or facilities to provide support for political activities.",,
Who must pre-approve the use of company funds for charitable activities?,"['PARTICIPATING IN CHARITABLE AND POLITICAL ACTIVITIES\nCharitable activities.\nThe Company encourages you to get involved in the charitable activities of your \nchoice.\nIf you plan to use any AMD funds or resources for a charitable activity, review and\nfollow the AMD Worldwide Charitable Contributions Policy. This policy requires pre-\napproval by Community Affairs for certain activities. \nPolitical activities.\nAMD neither encourages nor discourages its employees from engaging in political\nactivities on their own time and at their own expense, but you must follow these two \nsimple rules:\n•', 'AMD or the employee did not direct or have knowledge of the corrupt payment.\n \nHiring certain types of third parties (such as distributors, freight forwarders, logistics \nproviders, consultants, sales representatives, agents and product promoters) in high-\nrisk regions may require pre-approval from Ethics & Compliance.\nLikewise, before engaging a third party that will be interacting with government or \npublic officials on our behalf, contact Ethics & Compliance to evaluate whether we need \nto conduct additional due diligence.\nConducting Our Business Ethically  |  20', 'difficult situations that could impact our Company and you. Our Code provides a\nunifying set of standards to help all of us make the right decisions.\n \nWho must follow the Code?\n \nEmployees at all levels and all locations, as well as officers and directors, are\nresponsible for following our Code. Each of us is responsible for knowing this Code\nand the Company policies and laws that apply to our work.\nWe also require our contractors and other contingent workers, service providers,\nconsultants and other suppliers, agents, distributors, business partners and licensees']","**Pre-Approval Requirements**

* For charitable activities using AMD funds or resources, **pre-approval by Community Affairs is required.**

No additional information is available in the provided context regarding specific details such as days, hours, monetary limits, or department names related to pre-approval for charitable activities.",Pre-approval must be obtained from Community Affairs in accordance with the Worldwide Charitable Contributions Policy.,1.0,
What is the purpose of the Go Green Employee Resource Group (ERG)?,"['energy and reduce greenhouse gas (GHG) emissions. Our environmental programs and \ninitiatives extend across our value chain and we set ambitious goals and publicly report \non our progress annually.\nBe mindful about conserving resources in your work activities. This can include turning \noff equipment when not in use, reporting water leaks, avoiding unnecessary travel and \nreusing materials when available.\nAdditionally, you can join the AMD Go Green Employee Resource Group (ERG) that\nconnects employees and the environment to educate and inspire AMDers around the', 'connects employees and the environment to educate and inspire AMDers around the \nglobe to conserve resources, save money and improve their quality of life.\nClimate Change Policy\nParticipating in charitable and political \nactivities\nAMD Global Code of Conduct', 'What if the investigator or auditor is from the government? \nOur Company takes all requests for information by government officials seriously. If you \nlearn of a government request for information or a government investigation, promptly \ncontact your manager and the AMD Law Department.\nOur Global Code of Conduct  |  7\nRemember: To ensure our Company responds accurately and\nappropriately, do not answer questions or provide documents until the \nLaw Department instructs you to do so.\nQ\nYou receive a request from an Ethics & Compliance investigator to']","**Purpose of the Go Green Employee Resource Group (ERG):**

• Connects employees and the environment to educate and inspire AMDers around the globe
• To conserve resources, save money, and improve quality of life

No additional information is available in the provided context.","To connect employees and the environment to educate and inspire global conservation of resources, save money, and improve quality of life.",0.6666666666666666,
